property_address,property_ward,violation_fire_code,violation_description,number_of_violations
16 Concorde Pl,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),30
16 Concorde Pl,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),30
16 Concorde Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,30
16 Concorde Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,30
16 Concorde Pl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,30
16 Concorde Pl,NA,2.8.2.5 (3),2.8.2.5 (3) Posting fire emergency procedures,30
16 Concorde Pl,NA,2.8.3.4,2.8.3.4 Records,30
16 Concorde Pl,NA,4.3.13.5,4.3.13.5 Placards,30
16 Concorde Pl,NA,6.5.1.5.(1),6.5.1.5.(1) - Obstructions,30
20 Graydon Hall Dr,NA,1.1.2.3,1.1.2.3  (Do Not Use),24
20 Graydon Hall Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,24
20 Graydon Hall Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
20 Graydon Hall Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,24
20 Graydon Hall Dr,NA,2.8.3.4,2.8.3.4 Records,24
27 Bergamot Ave,1,1.1.2.3,1.1.2.3  (Do Not Use),9
27 Bergamot Ave,1,2.2.3.2,2.2.3.2 Maintenance of closures,9
27 Bergamot Ave,1,2.2.3.3,2.2.3.3 Operation of closures,9
77 Rankin Cres,9,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),4
77 Rankin Cres,9,2.2.3.2,2.2.3.2 Maintenance of closures,4
35 Canyon Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
50 Bruyeres Mews,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),16
50 Bruyeres Mews,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
50 Bruyeres Mews,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),16
50 Bruyeres Mews,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),16
50 Bruyeres Mews,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
50 Bruyeres Mews,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),16
50 Bruyeres Mews,NA,2.16.2.1,2.16.2.1 Installation requirements,16
50 Bruyeres Mews,NA,2.2.2.1,2.2.2.1 Damaged fire separations,16
50 Bruyeres Mews,NA,2.2.3.2,2.2.3.2 Maintenance of closures,16
50 Bruyeres Mews,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
50 Bruyeres Mews,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,16
50 Bruyeres Mews,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,16
50 Bruyeres Mews,NA,6.4.2.1,6.4.2.1 Hose stations,16
20 Joe Shuster Way,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
20 Joe Shuster Way,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
20 Joe Shuster Way,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
20 Joe Shuster Way,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),18
20 Joe Shuster Way,NA,2.2.3.1,2.2.3.1 Damaged closures,18
20 Joe Shuster Way,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
20 Joe Shuster Way,NA,2.2.3.3,2.2.3.3 Operation of closures,18
20 Joe Shuster Way,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,18
20 Joe Shuster Way,NA,2.4.1.3,2.4.1.3 Waste receptacles,18
20 Joe Shuster Way,NA,2.7.3.1,2.7.3.1 Exit signs,18
4 K Spadina Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),14
4 K Spadina Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
4 K Spadina Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,14
18 Yonge St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),12
18 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
18 Yonge St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
18 Yonge St,NA,2.7.3.1,2.7.3.1 Exit signs,12
18 Yonge St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,12
18 Yonge St,NA,6.3.1.2,6.3.1.2 Monitoring,12
393 King St W,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",11
393 King St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),11
393 King St W,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),11
393 King St W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),11
393 King St W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
393 King St W,NA,2.2.3.3,2.2.3.3 Operation of closures,11
393 King St W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,11
393 King St W,NA,2.7.3.1,2.7.3.1 Exit signs,11
393 King St W,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,11
393 King St W,NA,6.3.1.2,6.3.1.2 Monitoring,11
393 King St W,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,11
105 Mc Caul St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),12
105 Mc Caul St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),12
105 Mc Caul St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),12
105 Mc Caul St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),12
105 Mc Caul St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),12
290 Adelaide St W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),10
290 Adelaide St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),10
290 Adelaide St W,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),10
290 Adelaide St W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
290 Adelaide St W,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),10
290 Adelaide St W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
290 Adelaide St W,NA,6.2.4.3,6.2.4.3 Distance above floor,10
290 Adelaide St W,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,10
33 Bay St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
33 Bay St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),16
33 Bay St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
33 Bay St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),16
33 Bay St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
33 Bay St,NA,6.3.1.2,6.3.1.2 Monitoring,16
1 Edgewater Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,13
1 Edgewater Dr,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),13
1 Edgewater Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
1 Edgewater Dr,NA,2.7.3.1,2.7.3.1 Exit signs,13
1 Edgewater Dr,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,13
1 Edgewater Dr,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,13
1 Edgewater Dr,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,13
1 Edgewater Dr,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,13
1 Edgewater Dr,NA,6.4.1.3. (3),B.6.4.1.3.(3) STANDPIPE CAPS & BACK-FLUSHING,13
69 Lynn Williams St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,5
69 Lynn Williams St,NA,6.2.4.3,6.2.4.3 Distance above floor,5
73 Mc Caul St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),13
73 Mc Caul St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),13
73 Mc Caul St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),13
73 Mc Caul St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),13
73 Mc Caul St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),13
89 Mc Caul St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),7
89 Mc Caul St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),7
89 Mc Caul St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),7
89 Mc Caul St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),7
89 Mc Caul St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),7
80 Western Battery Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),9
80 Western Battery Rd,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),9
80 Western Battery Rd,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),9
80 Western Battery Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
80 Western Battery Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,9
70 Distillery Lane,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),3
70 Distillery Lane,NA,2.2.3.2,2.2.3.2 Maintenance of closures,3
70 Distillery Lane,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,3
1130 Wilson Ave,6,1.1.1.2,"1.1.1.2 Check, inspect and test",8
1130 Wilson Ave,6,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),8
1130 Wilson Ave,6,2.2.2.1,2.2.2.1 Damaged fire separations,8
1130 Wilson Ave,6,2.2.3.1,2.2.3.1 Damaged closures,8
1130 Wilson Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,8
1130 Wilson Ave,6,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,8
1130 Wilson Ave,6,6.2.7.6,6.2.7.6 Maintenance after use,8
1130 Wilson Ave,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,8
75 East Liberty St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),13
75 East Liberty St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),13
75 East Liberty St,NA,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),13
75 East Liberty St,NA,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),13
75 East Liberty St,NA,1.1.2.3./6.3.3.8,1.1.2.3./6.3.3.8 - Records of Test (Smoke Alarms),13
75 East Liberty St,NA,1.1.2.3./6.5.5.2.,1.1.2.3./6.5.5.2. Records of Test (Sprinkler Alarm Test),13
75 East Liberty St,NA,1.1.2.3./6.5.5.4.,1.1.2.3./6.5.5.4. Records of Test (Dry Pipe Trip Test),13
75 East Liberty St,NA,1.1.2.3./6.6.3.5.,1.1.2.3./6.6.3.5. Records of Test (Fire Pump),13
75 East Liberty St,NA,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),13
75 East Liberty St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,13
75 East Liberty St,NA,6.5.4.4. (1),B.6.5.4.4.(1) SPRINKLER CAPS & BACK-FLUSHING,13
1450 Sheppard Ave W,6,1.1.1.2,"1.1.1.2 Check, inspect and test",4
1450 Sheppard Ave W,6,1.1.2.3,1.1.2.3  (Do Not Use),4
1450 Sheppard Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,4
12 Goldfinch Crt,6,1.1.1.2,"1.1.1.2 Check, inspect and test",16
12 Goldfinch Crt,6,1.1.1.2,"1.1.1.2 Check, inspect and test",16
12 Goldfinch Crt,6,2.2.3.2,2.2.3.2 Maintenance of closures,16
12 Goldfinch Crt,6,3.3.2.3,3.3.2.3 Pile clearance,16
12 Goldfinch Crt,6,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",16
12 Goldfinch Crt,6,6.3.2.2,6.3.2.2 Fire alarm systems,16
12 Goldfinch Crt,6,6.4.1.6,"6.4.1.6 Inspection, testing and maintenance",16
12 Goldfinch Crt,6,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",16
1303 Wilson Ave,6,1.1.1.2,"1.1.1.2 Check, inspect and test",5
1303 Wilson Ave,6,1.1.1.2,"1.1.1.2 Check, inspect and test",5
1303 Wilson Ave,6,1.1.2.3,1.1.2.3  (Do Not Use),5
1303 Wilson Ave,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
131 Torresdale Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
131 Torresdale Ave,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,7
131 Torresdale Ave,6,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",7
131 Torresdale Ave,6,6.3.2.2,6.3.2.2 Fire alarm systems,7
131 Torresdale Ave,6,CH 470 - S.7,CH 470 - S.7,7
3830 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),6
3830 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,6
3830 Bathurst St,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,6
3830 Bathurst St,6,9.6.2.7,9.6.2.7 Storage rooms,6
1307 Wilson Ave,6,2.2.3.3,2.2.3.3 Operation of closures,9
1307 Wilson Ave,6,6.7.1.1,6.7.1.1 Emergency Power Systems,9
1307 Wilson Ave,6,9.6.5.7,9.6.5.7 Emergency power supply,9
1131 Steeles Ave W,6,1.1.1.2,"1.1.1.2 Check, inspect and test",10
1131 Steeles Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,10
1131 Steeles Ave W,6,2.4.1.3,2.4.1.3 Waste receptacles,10
1131 Steeles Ave W,6,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",10
1131 Steeles Ave W,6,CH 470 - S.6,CH 470 - S.6,10
1131 Steeles Ave W,6,CH 470 - S.7,CH 470 - S.7,10
55 De Boers Dr,6,2.2.2.1,2.2.2.1 Damaged fire separations,7
55 De Boers Dr,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
55 De Boers Dr,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,7
55 De Boers Dr,6,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,7
55 De Boers Dr,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,7
55 De Boers Dr,6,6.5.1.5 (2),6.5.1.5 (2) Obstructions,7
525 Wilson Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,3
525 Wilson Ave,6,CH 470 - S.6,CH 470 - S.6,3
4854 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),8
4854 Bathurst St,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
4854 Bathurst St,6,6.5.1.5,6.5.1.5 Obstructions,8
4383 Bathurst St,6,2.2.2.1,2.2.2.1 Damaged fire separations,8
4383 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,8
4383 Bathurst St,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
4383 Bathurst St,6,9.6.4.6,9.6.4.6 Signals to the fire department,8
4266 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,3
4266 Bathurst St,6,3.3.2.3,3.3.2.3 Pile clearance,3
5 Fisherville Rd,6,6.3.2.2,6.3.2.2 Fire alarm systems,4
4415 Bathurst St,6,2.2.2.1,2.2.2.1 Damaged fire separations,5
4415 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
4415 Bathurst St,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
5 Agate Rd,6,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),11
5 Agate Rd,6,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),11
5 Agate Rd,6,2.2.1.1,2.2.1.1 Damaged fire separations,11
5 Agate Rd,6,2.2.3.2,2.2.3.2 Maintenance of closures,11
5 Agate Rd,6,2.2.3.3,2.2.3.3 Operation of closures,11
5 Agate Rd,6,2.7.2.1,2.7.2.1 Door release hardware,11
5 Agate Rd,6,6.2.7.4,6.2.7.4 Tags,11
5 Agate Rd,6,6.4.2.7,6.4.2.7 Hose cabinets,11
5 Agate Rd,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,11
5 Agate Rd,6,6.5.1.5 (2),6.5.1.5 (2) Obstructions,11
4455 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,3
4455 Bathurst St,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,3
4300 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),9
4300 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,9
4300 Bathurst St,6,CH 470 - S.7,CH 470 - S.7,9
725 Don Mills Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),33
725 Don Mills Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),33
725 Don Mills Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),33
725 Don Mills Rd,NA,1.1.2.3,1.1.2.3  (Do Not Use),33
725 Don Mills Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,33
725 Don Mills Rd,NA,2.2.3.1,2.2.3.1 Damaged closures,33
725 Don Mills Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,33
725 Don Mills Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,33
725 Don Mills Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,33
725 Don Mills Rd,NA,2.8.2.5,2.8.2.5 Posting fire emergency procedures,33
725 Don Mills Rd,NA,2.8.3.4,2.8.3.4 Records,33
18 Concorde Pl,NA,1.1.2.1,1.1.2.1 Records to be prepared,10
18 Concorde Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,10
18 Concorde Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
18 Concorde Pl,NA,6.3.1.2,6.3.1.2 Monitoring,10
18 Concorde Pl,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,10
761 Bay St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,12
55 Skymark Dr,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),9
55 Skymark Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
55 Skymark Dr,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,9
10 Gordonridge Pl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",25
10 Gordonridge Pl,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),25
10 Gordonridge Pl,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),25
10 Gordonridge Pl,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),25
10 Gordonridge Pl,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),25
10 Gordonridge Pl,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),25
10 Gordonridge Pl,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),25
10 Gordonridge Pl,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),25
10 Gordonridge Pl,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),25
10 Gordonridge Pl,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),25
10 Gordonridge Pl,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),25
10 Gordonridge Pl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),25
10 Gordonridge Pl,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),25
10 Gordonridge Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,25
10 Gordonridge Pl,NA,2.2.3.1,2.2.3.1 Damaged closures,25
10 Gordonridge Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
10 Gordonridge Pl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
10 Gordonridge Pl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,25
10 Gordonridge Pl,NA,6.3.1.2,6.3.1.2 Monitoring,25
10 Gordonridge Pl,NA,6.4.2.1,6.4.2.1 Hose stations,25
10 Gordonridge Pl,NA,9.6.3.6,9.6.3.6 Exit signs,25
1700 Eglinton Ave E,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),30
1700 Eglinton Ave E,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),30
1700 Eglinton Ave E,NA,1.1.2.3,1.1.2.3  (Do Not Use),30
1700 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,30
1700 Eglinton Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,30
1700 Eglinton Ave E,NA,2.8.3.4,2.8.3.4 Records,30
1700 Eglinton Ave E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,30
197 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
197 Yonge St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,15
197 Yonge St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,15
197 Yonge St,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",15
197 Yonge St,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,15
22 Willowridge Rd,1,6.3.3.3,6.3.3.3 Duty to maintain in operating condition,12
6200 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),8
6200 Bathurst St,6,2.2.3.1,2.2.3.1 Damaged closures,8
6200 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,8
27 Rean Dr,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),11
27 Rean Dr,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),11
27 Rean Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,11
20 Zachary Crt,8,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),23
20 Zachary Crt,8,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),23
20 Zachary Crt,8,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),23
20 Zachary Crt,8,1.1.2.3./6.5.5.3.,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),23
2756 Old Leslie St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),23
2756 Old Leslie St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),23
2756 Old Leslie St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),23
2756 Old Leslie St,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),23
2756 Old Leslie St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),23
2756 Old Leslie St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),23
2756 Old Leslie St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,23
2756 Old Leslie St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,23
2756 Old Leslie St,NA,6.3.1.2.(2),6.3.1.2.(2),23
2775 Don Mills Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,28
2775 Don Mills Rd,NA,6.3.1.2,6.3.1.2 Monitoring,28
2775 Don Mills Rd,NA,6.3.2.2,6.3.2.2 Fire alarm systems,28
2775 Don Mills Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,28
2775 Don Mills Rd,NA,9.6.5.6,9.6.5.6 Firefighters' elevators,28
801 King St W,NA,2.8.1.2,2.8.1.2 Instructions in emergency procedures,2
801 King St W,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,2
478 King St W,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),11
478 King St W,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,11
478 King St W,NA,6.2.1.2,6.2.1.2 Maintenance,11
478 King St W,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,11
569 Sheppard Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
569 Sheppard Ave W,6,3.3.2.3,3.3.2.3 Pile clearance,7
569 Sheppard Ave W,6,6.3.2.2,6.3.2.2 Fire alarm systems,7
569 Sheppard Ave W,6,9.6.3.6,9.6.3.6 Exit signs,7
569 Sheppard Ave W,6,CH 470 - S.6,CH 470 - S.6,7
569 Sheppard Ave W,6,CH 470 - S.7,CH 470 - S.7,7
6020 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),6
6020 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,6
6020 Bathurst St,6,2.7.3.1,2.7.3.1 Exit signs,6
